learning rate = 0.75

Training . . . 
Episodes: 1, score: 0.0, survived: 0.0, eps: 1.0
Episodes: 2, score: 0.0, survived: 433.0, eps: 0.9992
Episodes: 3, score: 0.0, survived: 665.0, eps: 0.99840064
Episodes: 4, score: 0.0, survived: 253.0, eps: 0.9976019194879999
Episodes: 5, score: 0.0, survived: 439.0, eps: 0.9968038379524095
Episodes: 6, score: 0.0, survived: 1001.0, eps: 0.9960063948820475
Episodes: 7, score: 0.0, survived: 1001.0, eps: 0.9952095897661418
Episodes: 8, score: 0.0, survived: 365.0, eps: 0.9944134220943289
Episodes: 9, score: 0.0, survived: 207.0, eps: 0.9936178913566535
Episodes: 10, score: 0.0, survived: 1001.0, eps: 0.9928229970435681
Episodes: 11, score: 0.0, survived: 1001.0, eps: 0.9920287386459332
Episodes: 12, score: 0.0, survived: 321.0, eps: 0.9912351156550164
Episodes: 13, score: 0.0, survived: 326.0, eps: 0.9904421275624924
Episodes: 14, score: 0.0, survived: 520.0, eps: 0.9896497738604424
Episodes: 15, score: 0.0, survived: 652.0, eps: 0.9888580540413541
Episodes: 16, score: 0.0, survived: 254.0, eps: 0.988066967598121
Episodes: 17, score: 0.0, survived: 381.0, eps: 0.9872765140240425
Episodes: 18, score: 0.0, survived: 1001.0, eps: 0.9864866928128232
Episodes: 19, score: 0.0, survived: 413.0, eps: 0.9856975034585729
Episodes: 20, score: 0.0, survived: 612.0, eps: 0.984908945455806
Episodes: 21, score: 1.0, survived: 541.0, eps: 0.9841210182994413 --- (new best score)
Episodes: 22, score: 0.0, survived: 195.0, eps: 0.9833337214848017
Episodes: 23, score: 0.0, survived: 959.0, eps: 0.9825470545076138
Episodes: 24, score: 1.0, survived: 352.0, eps: 0.9817610168640077
Episodes: 25, score: 0.0, survived: 432.0, eps: 0.9809756080505165
Episodes: 26, score: 0.0, survived: 988.0, eps: 0.980190827564076
Episodes: 27, score: 0.0, survived: 773.0, eps: 0.9794066749020248
Episodes: 28, score: 0.0, survived: 139.0, eps: 0.9786231495621032
Episodes: 29, score: 0.0, survived: 734.0, eps: 0.9778402510424534
Episodes: 30, score: 0.0, survived: 683.0, eps: 0.9770579788416195
Episodes: 31, score: 0.0, survived: 209.0, eps: 0.9762763324585462
Episodes: 32, score: 0.0, survived: 801.0, eps: 0.9754953113925793
Episodes: 33, score: 0.0, survived: 569.0, eps: 0.9747149151434652
Episodes: 34, score: 0.0, survived: 1001.0, eps: 0.9739351432113504
Episodes: 35, score: 0.0, survived: 377.0, eps: 0.9731559950967813
Episodes: 36, score: 0.0, survived: 327.0, eps: 0.9723774703007039
Episodes: 37, score: 0.0, survived: 197.0, eps: 0.9715995683244633
Episodes: 38, score: 0.0, survived: 195.0, eps: 0.9708222886698037
