Training . . . 
Episodes: 1, score: 0.0, survived: 0.0, eps: 1.0
Episodes: 2, score: 0.0, survived: 294.0, eps: 0.9992
Episodes: 3, score: 0.0, survived: 290.0, eps: 0.99840064
Episodes: 4, score: 0.0, survived: 846.0, eps: 0.9976019194879999
Episodes: 5, score: 0.0, survived: 874.0, eps: 0.9968038379524095
Episodes: 6, score: 1.0, survived: 523.0, eps: 0.9960063948820475 --- (new best score)
Episodes: 7, score: 0.0, survived: 534.0, eps: 0.9952095897661418
Episodes: 8, score: 1.0, survived: 361.0, eps: 0.9944134220943289
Episodes: 9, score: 0.0, survived: 533.0, eps: 0.9936178913566535
Episodes: 10, score: 0.0, survived: 591.0, eps: 0.9928229970435681
Episodes: 11, score: 0.0, survived: 662.0, eps: 0.9920287386459332
Episodes: 12, score: 0.0, survived: 691.0, eps: 0.9912351156550164
Episodes: 13, score: 0.0, survived: 488.0, eps: 0.9904421275624924
Episodes: 14, score: 0.0, survived: 544.0, eps: 0.9896497738604424
Episodes: 15, score: 0.0, survived: 102.0, eps: 0.9888580540413541
Episodes: 16, score: 0.0, survived: 700.0, eps: 0.988066967598121
Episodes: 17, score: 0.0, survived: 474.0, eps: 0.9872765140240425
Episodes: 18, score: 0.0, survived: 453.0, eps: 0.9864866928128232
Episodes: 19, score: 0.0, survived: 250.0, eps: 0.9856975034585729
Episodes: 20, score: 0.0, survived: 1001.0, eps: 0.984908945455806
Episodes: 21, score: 0.0, survived: 165.0, eps: 0.9841210182994413
Episodes: 22, score: 0.0, survived: 643.0, eps: 0.9833337214848017
Episodes: 23, score: 1.0, survived: 801.0, eps: 0.9825470545076138
Episodes: 24, score: 1.0, survived: 200.0, eps: 0.9817610168640077
Episodes: 25, score: 1.0, survived: 219.0, eps: 0.9809756080505165
Episodes: 26, score: 0.0, survived: 710.0, eps: 0.980190827564076
Episodes: 27, score: 1.0, survived: 237.0, eps: 0.9794066749020248
Episodes: 28, score: 0.0, survived: 321.0, eps: 0.9786231495621032
Episodes: 29, score: 0.0, survived: 997.0, eps: 0.9778402510424534
Episodes: 30, score: 0.0, survived: 1001.0, eps: 0.9770579788416195
Episodes: 31, score: 0.0, survived: 690.0, eps: 0.9762763324585462
Episodes: 32, score: 0.0, survived: 730.0, eps: 0.9754953113925793
Episodes: 33, score: 0.0, survived: 878.0, eps: 0.9747149151434652
Episodes: 34, score: 0.0, survived: 822.0, eps: 0.9739351432113504
Episodes: 35, score: 0.0, survived: 172.0, eps: 0.9731559950967813
Episodes: 36, score: 0.0, survived: 1001.0, eps: 0.9723774703007039
Episodes: 37, score: 1.0, survived: 618.0, eps: 0.9715995683244633
Episodes: 38, score: 0.0, survived: 372.0, eps: 0.9708222886698037
Episodes: 39, score: 0.0, survived: 502.0, eps: 0.9700456308388679
Episodes: 40, score: 0.0, survived: 365.0, eps: 0.9692695943341968
Episodes: 41, score: 0.0, survived: 1001.0, eps: 0.9684941786587294
Episodes: 42, score: 0.0, survived: 1001.0, eps: 0.9677193833158024
Episodes: 43, score: 1.0, survived: 844.0, eps: 0.9669452078091497
Episodes: 44, score: 0.0, survived: 386.0, eps: 0.9661716516429024
Episodes: 45, score: 0.0, survived: 715.0, eps: 0.9653987143215881
Episodes: 46, score: 1.0, survived: 646.0, eps: 0.9646263953501308
Episodes: 47, score: 0.0, survived: 322.0, eps: 0.9638546942338507
Episodes: 48, score: 0.0, survived: 1001.0, eps: 0.9630836104784636
Episodes: 49, score: 1.0, survived: 237.0, eps: 0.9623131435900808
Episodes: 50, score: 0.0, survived: 740.0, eps: 0.9615432930752087
Episodes: 51, score: 0.0, survived: 1001.0, eps: 0.9607740584407485
Episodes: 52, score: 0.0, survived: 1001.0, eps: 0.9600054391939958
Episodes: 53, score: 0.0, survived: 815.0, eps: 0.9592374348426406
Episodes: 54, score: 0.0, survived: 460.0, eps: 0.9584700448947664
Episodes: 55, score: 0.0, survived: 256.0, eps: 0.9577032688588506
Episodes: 56, score: 1.0, survived: 454.0, eps: 0.9569371062437635
Episodes: 57, score: 0.0, survived: 1001.0, eps: 0.9561715565587685
Episodes: 58, score: 0.0, survived: 467.0, eps: 0.9554066193135214
Episodes: 59, score: 0.0, survived: 263.0, eps: 0.9546422940180707
Episodes: 60, score: 0.0, survived: 463.0, eps: 0.9538785801828562
Episodes: 61, score: 1.0, survived: 394.0, eps: 0.9531154773187099
Episodes: 62, score: 0.0, survived: 639.0, eps: 0.9523529849368549
Episodes: 63, score: 0.0, survived: 424.0, eps: 0.9515911025489054
Episodes: 64, score: 0.0, survived: 413.0, eps: 0.9508298296668662
Episodes: 65, score: 0.0, survived: 373.0, eps: 0.9500691658031327
Episodes: 66, score: 0.0, survived: 1001.0, eps: 0.9493091104704902
Episodes: 67, score: 0.0, survived: 748.0, eps: 0.9485496631821138
Episodes: 68, score: 0.0, survived: 240.0, eps: 0.9477908234515681
Episodes: 69, score: 0.0, survived: 769.0, eps: 0.9470325907928068
Episodes: 70, score: 0.0, survived: 135.0, eps: 0.9462749647201725
Episodes: 71, score: 0.0, survived: 309.0, eps: 0.9455179447483963
Episodes: 72, score: 1.0, survived: 853.0, eps: 0.9447615303925976
Episodes: 73, score: 0.0, survived: 310.0, eps: 0.9440057211682835
Episodes: 74, score: 0.0, survived: 334.0, eps: 0.9432505165913488
Episodes: 75, score: 1.0, survived: 513.0, eps: 0.9424959161780757
Episodes: 76, score: 1.0, survived: 718.0, eps: 0.9417419194451332
Episodes: 77, score: 1.0, survived: 393.0, eps: 0.940988525909577
Episodes: 78, score: 0.0, survived: 302.0, eps: 0.9402357350888494
